iter	Passed	Remaining
0	14	2858
1	29	2880
2	44	2924
3	59	2929
4	74	2909
5	89	2901
6	104	2871
7	118	2850
8	133	2835
9	147	2797
10	163	2815
11	179	2808
12	193	2789
13	209	2780
14	224	2772
15	239	2758
16	255	2747
17	269	2729
18	285	2718
19	300	2700
20	314	2682
21	330	2671
22	345	2661
23	361	2648
24	376	2635
25	391	2621
26	406	2606
27	421	2590
28	437	2580
29	452	2563
30	467	2549
31	482	2531
32	497	2515
33	512	2502
34	528	2490
35	542	2473
36	558	2458
37	572	2441
38	587	2425
39	601	2407
40	616	2390
41	631	2374
42	645	2358
43	662	2347
44	678	2337
45	695	2328
46	713	2322
47	729	2311
48	745	2298
49	762	2286
50	777	2270
51	792	2255
52	807	2240
53	823	2226
54	838	2211
55	854	2196
56	870	2182
57	884	2166
58	899	2150
59	914	2134
60	929	2117
61	943	2100
62	960	2088
63	974	2071
64	990	2056
65	1004	2040
66	1019	2023
67	1033	2006
68	1048	1990
69	1063	1974
70	1077	1958
71	1092	1942
72	1107	1926
73	1122	1910
74	1135	1893
75	1150	1877
76	1165	1862
77	1181	1848
78	1196	1832
79	1210	1815
80	1227	1803
81	1242	1787
82	1256	1771
83	1271	1756
84	1286	1740
85	1300	1723
86	1315	1708
87	1329	1692
88	1345	1677
89	1359	1661
90	1374	1646
91	1388	1630
92	1403	1614
93	1418	1599
94	1433	1583
95	1447	1568
96	1462	1552
97	1477	1537
98	1492	1522
99	1507	1507
100	1522	1492
101	1537	1476
102	1551	1461
103	1567	1446
104	1581	1431
105	1596	1415
106	1610	1399
107	1625	1384
108	1640	1369
109	1654	1353
110	1670	1339
111	1684	1323
112	1699	1308
113	1714	1293
114	1729	1278
115	1744	1263
116	1759	1248
117	1773	1232
118	1788	1217
119	1802	1201
120	1817	1186
121	1832	1171
122	1847	1156
123	1861	1141
124	1876	1125
125	1891	1110
126	1906	1095
127	1920	1080
128	1934	1064
129	1948	1049
130	1963	1034
131	1977	1018
132	1992	1003
133	2006	988
134	2022	973
135	2037	958
136	2053	944
137	2068	929
138	2083	914
139	2098	899
140	2113	884
141	2128	869
142	2145	855
143	2160	840
144	2174	824
145	2189	809
146	2204	794
147	2220	780
148	2235	765
149	2250	750
150	2264	734
151	2279	719
152	2295	705
153	2311	690
154	2326	675
155	2342	660
156	2356	645
157	2370	630
158	2385	615
159	2399	599
160	2415	585
161	2429	569
162	2444	554
163	2459	539
164	2473	524
165	2487	509
166	2502	494
167	2516	479
168	2531	464
169	2547	449
170	2563	434
171	2578	419
172	2592	404
173	2607	389
174	2621	374
175	2636	359
176	2651	344
177	2666	329
178	2680	314
179	2695	299
180	2709	284
181	2724	269
182	2739	254
183	2753	239
184	2767	224
185	2781	209
186	2796	194
187	2812	179
188	2826	164
189	2841	149
190	2855	134
191	2870	119
192	2885	104
193	2901	89
194	2915	74
195	2929	59
196	2945	44
197	2959	29
198	2974	14
199	2989	0
