Model-Measure,Accuracy
CNN-3,0.9851461060699916
CNN-2,0.9808100521736426
LightGBM-4,0.8864572605561277
CatBoost-4,0.8846549948506695
RandomForest-4,0.8663748712667353
CatBoost-1,0.8022657054582905
RandomForest-1,0.800205973223481
LightGBM-1,0.787847579814624
CatBoost-3,0.7098352214212152
RandomForest-3,0.7000514933058702
LightGBM-3,0.6995365602471678
KNeighbors-3,0.6874356333676622
SVM-3,0.664778578784758
LightGBM-2,0.6596292481977343
CatBoost-2,0.6495880535530381
KNeighbors-2,0.6428939237899073
RandomForest-2,0.6295056642636457
CNN-1,0.5018405485705596
CNN-4,0.49776393737780583
SVM-1,0.4963954685890834
SVM-4,0.4963954685890834
KNeighbors-1,0.4454170957775489
KNeighbors-4,0.44104016477857877
SVM-2,0.4140061791967044
